id;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Code Departement;Nom Departement;Code Region;Nom Region;Geo Shape;Geo Point;X;Y
140;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.675098997356272, 48.10947115535218]}";48.10947115535218, -1.6750989973562722;352256,5403;6789086,148
141;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.659183515126456, 48.121539276735135]}";48.121539276735135, -1.6591835151264556;353518,0779;6790354,979
142;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.783720839924954, 47.94055443442343]}";47.94055443442343, -1.783720839924954;343050,3246;6770833,803
143;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.797818252487625, 47.96439888090077]}";47.96439888090077, -1.7978182524876247;342160,5934;6773542,302
144;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.689006874466018, 48.11273561921627]}";48.11273561921627, -1.6890068744660185;351244,7885;6789509,629
145;35136;Janze;243500634;CC Roche aux Fees Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.49822765162665, 47.953370425608746]}";47.953370425608746, -1.4982276516266497;364410,436;6771003,481
146;35032;Bourgbarre;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.618468683903661, 47.99554159391148]}";47.99554159391148, -1.6184686839036613;355723,9008;6776199,389
147;35123;Goven;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.840135476618904, 48.00915570786866]}";48.00915570786866, -1.8401354766189035;339313,0155;6778699,011
148;35033;Bourg-des-Comptes;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.738648562331227, 47.939213657181206]}";47.939213657181206, -1.7386485623312267;346400,516;6770482,296
149;35023;Bedee;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.946628671984578, 48.18391473112914]}";48.18391473112914, -1.9466286719845782;332603,2401;6798573,517
150;35123;Goven;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.831665107584679, 48.00442567291386]}";48.00442567291386, -1.8316651075846788;339911,2969;6778135,723
151;35037;Breal-sous-Montfort;243500618;CC Broceliande Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.866614222854077, 48.062261508026246]}";48.062261508026246, -1.8666142228540765;337705,7937;6784710,451
152;35136;Janze;243500634;CC Roche aux Fees Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.50042710740562, 47.960430012909846]}";47.960430012909846, -1.5004271074056204;364291,2091;6771796,013
153;35040;Breteil;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.930069478793832, 48.13762944500125]}";48.13762944500125, -1.930069478793832;333510,5742;6793362,76
154;35041;Brie;243500634;CC Roche aux Fees Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.572520618154296, 47.94203194989382]}";47.94203194989382, -1.5725206181542961;358801,0495;6770064,027
155;35136;Janze;243500634;CC Roche aux Fees Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.504707810813234, 47.95147041510559]}";47.95147041510559, -1.5047078108132343;363915,471;6770820,258
156;35040;Breteil;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.900383521308805, 48.124161191735745]}";48.124161191735745, -1.9003835213088054;335621,6859;6791731,525
